ResponseId,demo_part2_religion,demo_part2_free,demo_religserv-PEW,demo_religimp-PEW,demo_part3_pray-PEW,religion_cat,religion_denom
R_1NySBRHXOdqcUA3,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_ULucFYZWzr45yDf,Protestant,no,More than once a week,Very important,Several times a day,Protestant,Christian
R_2cw09tCY8oMQSMx,Spiritual but not religious,NA,Seldom,Not too important,A few times a month,Spiritual but not religious,New Age / Spiritual
R_0Dsh34SdJzJYzM5,Catholic,NA,More than once a week,Very important,Once a day,Catholic,Christian
R_2zGWZd8f086mMJQ,"Atheist,Nothing in particular",NA,Never,Not at all important,Never,More than one non-religious identity,Non-religious
R_28MADa8IOOnVdF8,"Pagan, Wiccan, or other New Age faiths",NA,Never,Very important,Seldom,"Pagan, Wiccan, or other New Age faiths",New Age / Spiritual
R_3PiUCGF8ZDnUNGq,NA,Nope,NA,NA,Never,NA,Other
R_6hBduAqJobqJqIp,Some other world religion (Please describe below.),NA,A few times a year,Somewhat important,Once a day,Some other world religion (Please describe below.),Other World Religion
R_1pVRFWtF8zyNB1k,"Christian, no specific denomination",NA,Seldom,Not too important,NA,"Christian, no specific denomination",Christian
R_NVffCAnn3vayL3r,Spiritual but not religious,"I studied and ended up teaching shamanic healing classes, so I'm sure my answers reflect that.",Never,Not at all important,Once a day,Spiritual but not religious,New Age / Spiritual
R_1Nw7kPsbgLGChbk,Spiritual but not religious,NA,Never,Not at all important,Seldom,Spiritual but not religious,New Age / Spiritual
R_2YsmPWFLZfB3gob,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_2y3pHWo70jSD3yn,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_2CrGpNvNpe6QzR1,Spiritual but not religious,NA,Seldom,Somewhat important,A few times a week,Spiritual but not religious,New Age / Spiritual
R_1nPhohcReq1PxAq,"Agnostic,Nothing in particular",NA,Seldom,Not at all important,Never,More than one non-religious identity,Non-religious
R_3rHB7GStQJ8mBnI,"Christian, no specific denomination",NA,Never,Somewhat important,Seldom,"Christian, no specific denomination",Christian
R_2dMeIFgBSvJfSwr,Nothing in particular,NA,A few times a year,Not at all important,Never,Nothing in particular,Non-religious
R_3IQS8gZckT0cPBJ,Something else (Please describe below.),I would consider it still very much in development.,Never,Somewhat important,Never,Something else (Please describe below.),Other
R_3HvJ5HcuWmNDp11,"Buddhist,Atheist",NA,Never,Not too important,Never,More than one religion/spirituality,More than one religion/spirituality
R_12l26ucpKwKoJrM,NA,NA,A few times a year,Very important,A few times a week,NA,Other
R_3ee4eShy2p3khRN,Spiritual but not religious,No I feel I have said enough.,Never,Somewhat important,Seldom,Spiritual but not religious,New Age / Spiritual
R_1QudClFO7HNgy2u,Catholic,NA,Once a week,Very important,Once a day,Catholic,Christian
R_3kncqyVIzajH3gg,"Christian, no specific denomination",NA,Seldom,Very important,Several times a day,"Christian, no specific denomination",Christian
R_Z3FQHbfomBosFGN,Nothing in particular,NA,Seldom,Not too important,Seldom,Nothing in particular,Non-religious
R_1OTrLa6u45Kwyew,Catholic,NA,Never,Somewhat important,A few times a month,Catholic,Christian
R_1NCAhwsb9j9LGQ8,"Some other kind of Christianity (Please describe below.),Atheist",None,Never,Not at all important,Never,More than one religion/spirituality,More than one religion/spirituality
R_1BPpmtY7ys3edhB,Protestant,NA,Seldom,Not too important,Seldom,Protestant,Christian
R_XFi6oEKqkwiaTEB,Agnostic,NA,Seldom,Not at all important,Never,Agnostic,Non-religious
R_r13cY0ZnAe86VDr,"Christian, no specific denomination",no,Never,Very important,Once a day,"Christian, no specific denomination",Christian
R_1LZE2GXMOOkWYn9,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_5h9odUAVSdDWAox,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_1FPA40gdzSKP2Ie,Protestant,no,Never,Somewhat important,Once a day,Protestant,Christian
R_yVoNLPI34B7jYo9,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_2aJIS3tllJtOgkT,Protestant,"I don't go to church, but I pray daily and try to practice my religion through how I live my life.",Never,Very important,Several times a day,Protestant,Christian
R_1HbfAyYPi55DFmu,Agnostic,Raised Catholic.,Never,Not at all important,A few times a week,Agnostic,Non-religious
R_1rcB1uHO5z6qNV0,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_8wf2oPdTBeZNnbP,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_3m4dfpD7o9epiSB,Nothing in particular,NA,Never,NA,Never,Nothing in particular,Non-religious
R_2TRAyokEkvjaLCq,Protestant,NA,Seldom,Somewhat important,Several times a day,Protestant,Christian
R_2pYwXqxBPy2Sxjx,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_3L0IrlszvQ6eDwe,Something else (Please describe below.),NA,Seldom,Not at all important,Never,Something else (Please describe below.),Other
R_1o4FHHL7P92oUz7,"Agnostic,Atheist",NA,Never,Not at all important,Never,More than one non-religious identity,Non-religious
R_2dKl9QXiTs3fmlf,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_t07N5Cra7Kb2nap,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_3j2I5tYFoIbGfvS,"Pagan, Wiccan, or other New Age faiths",I'm a hard-polytheistic eclectic solitaire pagan witch,A few times a year,Very important,Once a day,"Pagan, Wiccan, or other New Age faiths",New Age / Spiritual
R_3s5pZATsDh9TvnF,"Catholic,Christian, no specific denomination",NA,Seldom,Very important,Several times a day,More than one Christian identity,Christian
R_3Rsjn3xMD7HnD6q,"Jewish,Atheist",NA,Never,Not at all important,Never,More than one religion/spirituality,More than one religion/spirituality
R_3VrXpkk0esNVmVj,Agnostic,NA,A few times a year,Somewhat important,A few times a week,Agnostic,Non-religious
R_124LpT2HjC3XHDA,"Christian, no specific denomination",NA,Never,Not at all important,Never,"Christian, no specific denomination",Christian
R_1JJSxYsOjUbp2Ng,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_129XlZq1ppEBs4S,"Evangelical or ""born again""",I don't really practice or follow Christianity anymore.,Seldom,Not too important,Seldom,"Evangelical or ""born again""",Christian
R_2TtkSa7VwO2wcul,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_1dM2qVjNB136g0O,Atheist,NA,Seldom,Not at all important,Never,Atheist,Non-religious
R_10p9pd4pjVGfZL0,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_5mREGN57at7kVXz,Something else (Please describe below.),"The TLDR is that the creature commonly called God by the Abrahamic religions is not the creator and is, in fact, malevolent.",A few times a year,Very important,Several times a day,Something else (Please describe below.),Other
R_3ivPK8BX1siPN0H,"Christian, no specific denomination",NA,A few times a year,Very important,Once a day,"Christian, no specific denomination",Christian
R_22CUymA67NHptCk,"Agnostic,Atheist,Nothing in particular",NA,Never,Not at all important,Never,More than one non-religious identity,Non-religious
R_3PAFpfoE5VWkrZr,"Evangelical or ""born again"",Christian, no specific denomination",NA,A few times a year,Somewhat important,A few times a month,"Evangelical or ""born again""",Christian
R_3lFeKIgtIFx8lhl,Agnostic,"Pastor's Kid, indoctrinated into Christianity until age 16",Never,Not at all important,Seldom,Agnostic,Non-religious
R_2SBrvH5mqpsTlEO,"Christian, no specific denomination",NA,Never,Not too important,Once a day,"Christian, no specific denomination",Christian
R_eqDSVtSE16aa1fb,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_3iR7tT7YZdIrjO9,Protestant,NA,Seldom,Not too important,Never,Protestant,Christian
R_1P6sneiGshhD2db,Catholic,NA,Never,Somewhat important,A few times a week,Catholic,Christian
R_3dY3uteOOOg3WnK,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_2e2alFXxq5d61v8,Protestant,NA,Never,Somewhat important,A few times a week,Protestant,Christian
R_2DOyuD5ocv2nIxm,Spiritual but not religious,NA,Never,Not too important,Never,Spiritual but not religious,New Age / Spiritual
R_1IAXtDeaW5RYNn9,"Spiritual but not religious,Agnostic",NA,Never,Not at all important,Never,"Evangelical or ""born again""",Christian
R_3O2nl04wP84vevv,Protestant,NA,Once or twice a month,Somewhat important,Once a week,Protestant,Christian
R_3O1gQvW43IY4UeU,Protestant,NA,Once a week,Not too important,A few times a week,Protestant,Christian
R_5b9CeDzCFvo68Qp,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_5dpzRHmbEkIn6md,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_2SJDpNsJ39p404m,"Christian, no specific denomination",NA,Never,Not too important,A few times a month,"Christian, no specific denomination",Christian
R_2vkXY5xl67LRSqr,Nothing in particular,NA,Never,Not at all important,Never,Nothing in particular,Non-religious
R_12EIK1G60zOi5FP,Protestant,NA,Never,Very important,Once a day,Protestant,Christian
R_12JCjHybsSfJ07N,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_3J8wVvAl4AiJe4q,"Evangelical or ""born again""",NA,Seldom,Somewhat important,A few times a month,"Evangelical or ""born again""",Christian
R_1kYqIg1UFLsYQpl,Catholic,NA,Seldom,Somewhat important,A few times a month,Catholic,Christian
R_1lyrq1cga7CBm43,Spiritual but not religious,NA,Seldom,Not too important,Seldom,Spiritual but not religious,New Age / Spiritual
R_CfPMCo2wkyMM5ln,Protestant,NA,A few times a year,Somewhat important,Several times a day,Protestant,Christian
R_8rbHgrLEIGY6Z0Z,Member of a historically Black church,NA,A few times a year,Somewhat important,Several times a day,Member of a historically Black church,Christian
R_9tYnDPAlA9BROI9,Agnostic,NA,Never,Not too important,A few times a month,Agnostic,Non-religious
R_12522Z1rZnHrnUb,"Some other kind of Christianity (Please describe below.),Spiritual but not religious,Agnostic",NA,Never,Not at all important,Never,More than one religion/spirituality,More than one religion/spirituality
R_31uhaF7x4AjBw8L,Agnostic,NA,Seldom,Not at all important,Never,Agnostic,Non-religious
R_2rUvwkd3plSj8ZQ,Agnostic,I would like to have faith like I see others have - I just dont have it.,Never,Not at all important,Never,Agnostic,Non-religious
R_1jVpCfA9vnqjb5v,Jewish,I am culturally Jewish but also an Atheist,Never,Not at all important,Never,Jewish,Other World Religion
R_1Lunxt5eNykTXog,Protestant,NA,Once a week,Not too important,Seldom,Protestant,Christian
R_tX6ckvBPG5JYhRn,Protestant,NA,A few times a year,Very important,A few times a week,Protestant,Christian
R_ueQJivMLfFsIEGR,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_1E68xHyYpszRdQv,Catholic,NA,Never,Not at all important,Seldom,Catholic,Christian
R_R3w3p7YyrRuvRUl,Catholic,NA,Once a week,Very important,Once a day,Catholic,Christian
R_xbBtMr5bIRlG1nb,Agnostic,I was raised Christian but now have a negative view of it and most organized religions.,Never,Not at all important,Never,Agnostic,Non-religious
R_2savRieNeo5qtVT,Spiritual but not religious,No thank you.,Never,Somewhat important,A few times a month,Spiritual but not religious,New Age / Spiritual
R_1F8K1n22mx3NmMP,"Protestant,Christian, no specific denomination,Spiritual but not religious",Religion has a negative connotation to me.  Just because one belongs to a religion does not mean they are saved.  Most Christians are no different from society.,Once a week,Not too important,Once a day,More than one religion/spirituality,More than one religion/spirituality
R_2uIGwOg9hlG7RMT,"Spiritual but not religious,Agnostic",NA,Never,Not at all important,A few times a week,"Evangelical or ""born again""",Christian
R_2tm5l4wx4y2Vm9C,Catholic,I'm not very religious.,Never,Not at all important,A few times a month,Catholic,Christian
R_2tmtKFEhV2ksgne,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_2q3Ki1TInpnZFjM,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_1N3pN9sFavGGgcM,Protestant,NA,Seldom,Somewhat important,A few times a month,Protestant,Christian
R_1kN60O1e5CJ4Zee,"Christian, no specific denomination","No other comments. about religion for me, thanks.",A few times a year,Somewhat important,A few times a month,"Christian, no specific denomination",Christian
R_2SHRurwGgesVbvA,Agnostic,NA,Seldom,Somewhat important,Seldom,Agnostic,Non-religious
R_296pnfA7qemYXGO,"Christian, no specific denomination",NA,Never,Not too important,Never,"Christian, no specific denomination",Christian
R_Ajnut7H6I9mTinv,Jewish,NA,A few times a year,Somewhat important,A few times a month,Jewish,Other World Religion
R_33qokXTOGvijwWR,"Christian, no specific denomination",NA,Once a week,Very important,Once a day,"Christian, no specific denomination",Christian
R_3frQXK8JTJuucTh,Agnostic,"I'm comfortable identifying as either agnostic or atheist. Agnostic seems more accurate to me, but I do lean towards the side of not believing in any higher being.",Never,Not at all important,Never,Agnostic,Non-religious
R_2eQnt3ZPm39KHcx,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_ahsTVzB4BpaaSxX,Nothing in particular,IDK what it is technically. like the difference between spiritual or nothing in particular (or how that differs from something else) so I had to use best guess here. it might be spiritual or unaffiliated im not sure which,Never,Not at all important,Never,Nothing in particular,Non-religious
R_3ltYaiX4oxy9s1r,Jehovah's Witness,NA,More than once a week,Very important,Several times a day,Jehovah's Witness,Christian
R_2ceBZbYkfyktplr,Protestant,NA,Once a week,Very important,Once a day,Protestant,Christian
R_XSSNIXrCWRmRAdP,Muslim,NA,Once a week,Very important,Several times a day,Muslim,Other World Religion
R_1BYodVYqkJGe1Dk,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_3dEuFY6mCzb21bE,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_r2WqviTF8EU1SMh,Spiritual but not religious,NA,Once or twice a month,Not at all important,A few times a week,Spiritual but not religious,New Age / Spiritual
R_2aFya4GN8C5aF0t,Agnostic,NA,Never,Not too important,Never,Agnostic,Non-religious
R_3fGZ2wGgDz01qxX,Atheist,I believe in nothing.,Never,Not at all important,Never,Atheist,Non-religious
R_2zD9yquheOJSPuq,Agnostic,No,Never,Not at all important,A few times a month,Agnostic,Non-religious
R_5b8gSB3zBK2rBUl,"Spiritual but not religious,Agnostic",NA,A few times a year,Not at all important,Never,"Evangelical or ""born again""",Christian
R_t0qQcCQfi2ntYdz,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_AsKp47bIkvE2bIt,Protestant,NA,Never,Somewhat important,A few times a month,Protestant,Christian
R_3g89AhIwY8cgDQi,"Agnostic,Atheist",NA,Never,Not at all important,Never,More than one non-religious identity,Non-religious
R_2qDFNzWx3WINwUB,"Pagan, Wiccan, or other New Age faiths","I believe in the spirit of the Earth, not an authoritarian god.",Never,Not too important,A few times a month,"Pagan, Wiccan, or other New Age faiths",New Age / Spiritual
R_pDJ16cDQDNKUle9,"Agnostic,Atheist",NA,Never,Not at all important,Never,More than one non-religious identity,Non-religious
R_AM8nNwQrMiLfbeV,Spiritual but not religious,I can't really think of anything at this time,A few times a year,Somewhat important,A few times a week,Spiritual but not religious,New Age / Spiritual
R_5u9LuLs7EglzFBL,Muslim,NA,Once a week,Very important,Several times a day,Muslim,Other World Religion
R_3hhm689q152icgZ,Nothing in particular,NA,Never,Not at all important,Seldom,Nothing in particular,Non-religious
R_UyeKXKUlXEIfhYJ,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_2vjEST6hANfVvSQ,Agnostic,I was raised Catholic,Never,Not at all important,Seldom,Agnostic,Non-religious
R_1IQMxtwnsuQkfRk,"Protestant,Evangelical or ""born again""",NA,Once a week,Very important,Once a day,"Evangelical or ""born again""",Christian
R_3ML7aTIwKkruTzt,"Evangelical or ""born again""",NA,Once a week,Very important,Several times a day,"Evangelical or ""born again""",Christian
R_1CHqDQOEVkvk30U,Catholic,NA,Once or twice a month,Very important,Once a day,Catholic,Christian
R_2QMVg9wRkdSeWMd,Nothing in particular,NA,Never,Not at all important,A few times a month,Nothing in particular,Non-religious
R_e9zAs5ZgbeKzLgt,Nothing in particular,NA,Never,Not at all important,Never,Nothing in particular,Non-religious
R_23Whpt522ZQS4zN,Catholic,NA,Never,Not at all important,A few times a month,Catholic,Christian
R_1igu47J5t9z6V6X,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_0qt1YlConq57lDz,Nothing in particular,I grew up Christian but stopped going.,Never,Not at all important,Never,Nothing in particular,Non-religious
R_2Tpk1akFZsnCDjX,Protestant,More spiritual than religious,Seldom,Somewhat important,A few times a week,Protestant,Christian
R_2X0WREmNEvmDyLT,Catholic,NA,Seldom,Somewhat important,A few times a month,Catholic,Christian
R_31hJWf3PfO9Ea2m,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_1gumFWB9fFndA8V,Spiritual but not religious,nothing to add,Never,Not at all important,Several times a day,Spiritual but not religious,New Age / Spiritual
R_3P4ERjcz8M1Uj0U,"Orthodox Christian (for example, Greek Orthodox, Russian Orthodox),Buddhist,Spiritual but not religious,Agnostic",NA,Seldom,Not at all important,A few times a month,More than one religion/spirituality,More than one religion/spirituality
R_1GJGnvt6gh2EgTj,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_1FRi9HoxU0YFvnc,"Pagan, Wiccan, or other New Age faiths,Spiritual but not religious",NA,Never,Very important,A few times a month,More than one religion/spirituality,More than one religion/spirituality
R_22Eu16PtLZ4lG15,Protestant,NA,A few times a year,Very important,Once a day,Protestant,Christian
R_2CHgHGoMffDirja,Nothing in particular,NA,Never,Not at all important,Never,Nothing in particular,Non-religious
R_3Lb4il2pEBUAWuO,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_26b5gtVBC35qynP,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_1CDOr0LQCvKFlyx,"Christian, no specific denomination",NA,Seldom,Very important,Several times a day,"Christian, no specific denomination",Christian
R_x3fyB5lFysHiPtf,Spiritual but not religious,NA,Never,Not at all important,Seldom,Spiritual but not religious,New Age / Spiritual
R_1K0DnxyAC6ICX1Z,"Evangelical or ""born again""",NA,A few times a year,Very important,Several times a day,"Evangelical or ""born again""",Christian
R_6tEKBQaltwymaOd,Catholic,NA,Once a week,Very important,Several times a day,Catholic,Christian
R_3ey8osDQTWgiPir,"Christian, no specific denomination",NA,Never,Very important,Several times a day,"Christian, no specific denomination",Christian
R_2UgPWfG3I0lX3dq,Agnostic,NA,Never,Not at all important,Seldom,Agnostic,Non-religious
R_2whlmmhr6V2xLVc,Protestant,NA,Never,Not too important,Seldom,Protestant,Christian
R_3gUgBelmR1aDXbS,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_3kzFl4tj5nB3Zu4,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_1DokBSNyMnUDLr9,Spiritual but not religious,NA,Never,Not too important,Seldom,Spiritual but not religious,New Age / Spiritual
R_Qha8MdMlMS32YzT,Nothing in particular,NA,Seldom,Not too important,Never,Nothing in particular,Non-religious
R_ph0R3idfJyGgVoJ,Catholic,NA,A few times a year,Not at all important,Never,Catholic,Christian
R_1gMUeMVFYqdgpgt,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_25XdYb3fobSas1j,"Agnostic,Atheist",NA,Never,Not at all important,Never,More than one non-religious identity,Non-religious
R_DAx8sJeZbJtcCo9,Spiritual but not religious,NA,Never,Very important,Once a day,Spiritual but not religious,New Age / Spiritual
R_1roAM7ArJnUY1I7,"Evangelical or ""born again""",NA,Seldom,Very important,Several times a day,"Evangelical or ""born again""",Christian
R_OkVXCCFdAfjN14Z,Protestant,NA,Once a week,Somewhat important,Several times a day,Protestant,Christian
R_27BAGOde29rn5Ja,Nothing in particular,No,Never,Not at all important,Never,Nothing in particular,Non-religious
R_ONDy2WifkEma7V7,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_tRMybuqfgBMU4Ct,Agnostic,NA,Never,Not too important,Seldom,Agnostic,Non-religious
R_1JEq497IDdZje9P,Catholic,NA,A few times a year,Not too important,Once a day,Catholic,Christian
R_1gOysZ0eHdMtSWE,Protestant,NA,Once a week,Very important,Several times a day,Protestant,Christian
R_1P0DBgElhk6hs7X,Agnostic,NA,Seldom,Not at all important,Seldom,Agnostic,Non-religious
R_pykdjCzv8rP230R,Protestant,NA,Seldom,Somewhat important,Several times a day,Protestant,Christian
R_2foL4KP0QfTGfxk,"Christian, no specific denomination",NA,Seldom,Somewhat important,Once a day,"Christian, no specific denomination",Christian
R_xmR9E49tYWkzBmN,Some other kind of Christianity (Please describe below.),black lives matter,Never,Not at all important,Seldom,Some other kind of Christianity (Please describe below.),Christian
R_1pxPPbT8RCYS3my,"Atheist,Nothing in particular",NA,Never,Not at all important,Never,More than one non-religious identity,Non-religious
R_1FDjntzfHuXKVyW,Protestant,I believe in God and consider myself spiritual more than belonging to any particular type of religion.,Never,Very important,A few times a week,Protestant,Christian
R_A1KgCuH3Ydnzpkd,Catholic,NA,Once a week,Very important,Several times a day,Catholic,Christian
R_2w5d78H8FqJ1bWH,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_1lh40YiYjEnghrF,"Christian, no specific denomination",NA,Once a week,Very important,Once a day,"Christian, no specific denomination",Christian
R_2ZOJYYvAlH8C4Du,Nothing in particular,NA,Never,Not at all important,Never,Nothing in particular,Non-religious
R_2DYLc9rp6Tv3v7S,Nothing in particular,"I have no religion. I grew up in culture that heavily influenced by Buddhism but I am no Buddhist. I am not convinced there’s a creator, I do have some interest in religion teaching as “philosophy” rather than belief. I feel like all religions deep in the core are heading in same direction: leading people toward righteousness",Never,Not at all important,Seldom,Nothing in particular,Non-religious
R_2WY9LI9ju8TM0qF,Atheist,NA,Seldom,Not at all important,Seldom,Atheist,Non-religious
R_XYDRVlGnGjHEXzb,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_Q6ex4yb2rG5f94d,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_urAYw104gSOL6Hn,Protestant,NA,Once a week,Very important,A few times a week,Protestant,Christian
R_3EbCFDLR19tQO5j,Catholic,NA,Seldom,Somewhat important,A few times a month,Catholic,Christian
R_2QR4zuREq8aOVay,Nothing in particular,NA,Never,Not at all important,Never,Nothing in particular,Non-religious
R_1DZl90NHHDlKzDD,"Spiritual but not religious,Atheist",NA,Never,Not at all important,Never,"Evangelical or ""born again""",Christian
R_ug3tkHKzmAywym5,Atheist,NA,Seldom,Not at all important,Never,Atheist,Non-religious
R_WxQP6wx9rO174rf,Catholic,NA,Seldom,Not too important,A few times a month,Catholic,Christian
R_AvY7rw03ek8xA89,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_3FOFJ1IPsmJCB7X,Protestant,NA,Seldom,Very important,Several times a day,Protestant,Christian
R_2OMTKMiPEIAsA1u,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_10NUueZP9r68jrM,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
