ResponseId,spev_score,demo_part1_gender,demo_part2_religion,demo_part2_free,demo_religserv-PEW,demo_religimp-PEW,demo_part3_pray-PEW,demo_godcommunicate,demo_part3_tongues,demo_spiritfilled,demo_part3_giftshs,demo_part3_free,sleep_11,religion_cat,religion_denom,sleep_11_std,ISQ_raw,ISQ_std,pray_freq_PEW,pray_freq_PEW_num,group
R_12EIK1G60zOi5FP,0.6470588235294118,Man,Protestant,NA,Never,Very important,Once a day,NA,NA,NA,NA,NA,-1,Protestant,Christian,-1.468041596,2.2,0.4246159135591128,Once a day,6,All Christian
R_12GpSSpKU5SInDC,2.409090909090909,Man,Catholic,No,A few times a year,Very important,Once a day,Yes,NA,Yes,Yes,No,1,Catholic,Christian,0.43070420230895456,2.2,0.4246159135591128,Once a day,6,All Christian
R_12hbw4mW3ljuIMg,0.7619047619047619,Man,Protestant,NA,Seldom,Very important,Once a day,NA,NA,NA,NA,NA,0,Protestant,Christian,-0.518668697,1.2,-0.455609776,Once a day,6,All Christian
R_12JCjHybsSfJ07N,0,Man,Agnostic,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,1,Agnostic,Non-religious,0.43070420230895456,0,-1.511880603,Never,1,All Participants
R_12kTef8IMKJX9Ni,0.8,Woman,"Evangelical or ""born again"",Christian, no specific denomination",NA,Seldom,Very important,Several times a day,Yes,Yes,Yes,Yes,NA,0,"Evangelical or ""born again""",Christian,-0.518668697,3,1.1287964650965612,Several times a day,7,Evangelical Christian
R_12kUqRiMlRO0XsP,1.4615384615384615,Man,"Member of the Church of Jesus Christ of Latter-day Saints (sometimes known as ""Mormon""),Christian, no specific denomination",NA,Never,Very important,A few times a week,Yes,Yes,NA,Yes,NA,1,More than one Christian identity,Christian,0.43070420230895456,3,1.1287964650965612,A few times a week,5,All Christian
R_12l26ucpKwKoJrM,0.10526315789473684,Woman,NA,NA,A few times a year,Very important,A few times a week,NA,NA,NA,NA,NA,1,NA,Other,0.43070420230895456,0.4,-1.159790327,A few times a week,5,All Participants
R_12LKRe68uIFnWRO,0.3333333333333333,Man,Catholic,NA,Once or twice a month,Very important,A few times a week,Yes,No,Yes,Yes,NA,0,Catholic,Christian,-0.518668697,0.2,-1.335835465,A few times a week,5,All Christian
R_12LS6PxKcakALgi,0.1428571428571429,Woman,"Agnostic,Nothing in particular",NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,2,More than one non-religious identity,Non-religious,1.3800771015453797,0.6,-0.98374519,Never,1,All Participants
R_12r1GosPOzV6Dfu,0,Man,Agnostic,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,0,Agnostic,Non-religious,-0.518668697,2.2,0.4246159135591128,Never,1,All Participants
R_12sTmI8S6cFQwIE,0,Man,Agnostic,NA,Seldom,Not too important,Never,NA,NA,NA,NA,NA,0,Agnostic,Non-religious,-0.518668697,0.6,-0.98374519,Never,1,All Participants
R_12u4GLjNkM06aUi,0.045454545454545456,Woman,"Christian, no specific denomination",NA,Never,Not too important,Never,NA,NA,NA,NA,NA,0,"Christian, no specific denomination",Christian,-0.518668697,3,1.1287964650965612,Never,1,All Christian
R_12u61icI3UHHBir,0.1176470588235294,Man,Protestant,NA,Seldom,Very important,Once a day,Yes,No,Yes,Yes,NA,1,Protestant,Christian,0.43070420230895456,0,-1.511880603,Once a day,6,All Christian
R_1Ar7EfOsLUdr3Mt,1.1875,Woman,"Evangelical or ""born again"",Christian, no specific denomination",NA,Seldom,Somewhat important,Several times a day,NA,NA,NA,NA,NA,2,"Evangelical or ""born again""",Christian,1.3800771015453797,2.8,0.952751327,Several times a day,7,Evangelical Christian
R_1BPpmtY7ys3edhB,0,Man,Protestant,NA,Seldom,Not too important,Seldom,NA,No,NA,NA,NA,0,Protestant,Christian,-0.518668697,0,-1.511880603,Seldom,2,All Christian
R_1BSh6XVNW7Kla8i,0.045454545,Man,Catholic,NA,Seldom,Somewhat important,Seldom,No,No,No,No,NA,2,Catholic,Christian,1.3800771015453797,2,0.24857077567475053,Seldom,2,All Christian
R_1BVHqpSOMRm7pvM,0,Man,Agnostic,NA,Never,Not too important,Seldom,NA,NA,NA,NA,NA,0,Agnostic,Non-religious,-0.518668697,2.8,0.952751327,Seldom,2,All Participants
R_1BW3d6vmxzHd3uC,0.095238095,Man,Nothing in particular,NA,Never,Not at all important,Once a day,NA,NA,NA,NA,NA,0,Nothing in particular,Non-religious,-0.518668697,0,-1.511880603,Once a day,6,All Participants
R_1BYgyR3llJmrPqg,0,Man,Agnostic,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,-1,Agnostic,Non-religious,-1.468041596,0,-1.511880603,Never,1,All Participants
R_1BYodVYqkJGe1Dk,0.090909091,Man,Atheist,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,2,Atheist,Non-religious,1.3800771015453797,1,-0.631654914,Never,1,All Participants
R_1C1IIrZ2CUFBaXz,0.22727272727272724,Man,Protestant,NA,Once a week,Somewhat important,A few times a week,NA,No,Yes,Yes,NA,-2,Protestant,Christian,-2.417414495,2.2,0.4246159135591128,A few times a week,5,All Christian
R_1C2V3jIK5bs6A9K,0.36363636363636354,Man,Protestant,NA,Once a week,Very important,Several times a day,NA,No,Yes,Yes,NA,0,Protestant,Christian,-0.518668697,0.8,-0.807700052,Several times a day,7,All Christian
R_1CDOr0LQCvKFlyx,0.5833333333333333,Woman,"Christian, no specific denomination",NA,Seldom,Very important,Several times a day,NA,NA,NA,NA,NA,2,"Christian, no specific denomination",Christian,1.3800771015453797,2.3333333333333335,0.5419793388153542,Several times a day,7,All Christian
R_1CeCDURG5oRZQSL,0.095238095,Man,Buddhist,NA,Never,Not at all important,Seldom,NA,NA,NA,NA,NA,1,Buddhist,Other World Religion,0.43070420230895456,1.8,0.072525638,Seldom,2,All Participants
R_1CHqDQOEVkvk30U,0.7272727272727271,Man,Catholic,NA,Once or twice a month,Very important,Once a day,Yes,No,Yes,Yes,NA,1,Catholic,Christian,0.43070420230895456,1,-0.631654914,Once a day,6,All Christian
R_1CIV81LI0UBYYN2,0,Woman,"Agnostic,Atheist",NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,0,More than one non-religious identity,Non-religious,-0.518668697,2.8,0.952751327,Never,1,All Participants
R_1CjvDzY4VlFQvUj,0,Man,Atheist,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,0,Atheist,Non-religious,-0.518668697,0.4,-1.159790327,Never,1,All Participants
R_1ClSynOFoB93PpP,0,Man,Agnostic,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,2,Agnostic,Non-religious,1.3800771015453797,1.8,0.072525638,Never,1,All Participants
R_1Cqkz6TMUzKZeXx,2.3636363636363638,Man,Catholic,NA,A few times a year,Very important,Once a week,Yes,No,Yes,Yes,i am a psychic and paranormal investigator. I have the ability to read peoples future and past with accuracy I get messages i share with the receiver. I have seen demons and ghosts when ghosthunting. If you have any questions about what I do my email is cat31dog@gmail my name is Al.,2,Catholic,Christian,1.3800771015453797,1.4,-0.279564638,Once a week,4,All Christian
R_1cTv93EKcCC3LV0,1.6363636363636365,Man,Catholic,Nope,Seldom,Very important,Seldom,Yes,Yes,Yes,Yes,Nope,0,Catholic,Christian,-0.518668697,1.6,-0.1035195,Seldom,2,All Christian
R_1CyJNPKtbd24Pzn,0.05,Man,"Christian, no specific denomination",NA,Seldom,Very important,A few times a month,No,No,Yes,Yes,NA,0,"Christian, no specific denomination",Christian,-0.518668697,0,-1.511880603,A few times a month,3,All Christian
R_1Cyls4TtHQfjDnY,0,Man,Agnostic,NA,Seldom,Not at all important,Never,NA,NA,NA,NA,NA,0,Agnostic,Non-religious,-0.518668697,0.2,-1.335835465,Never,1,All Participants
R_1d51LBz4qzS1hwa,0,Man,Atheist,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,0,Atheist,Non-religious,-0.518668697,1,-0.631654914,Never,1,All Participants
R_1d5lUB5qw9adJrf,0,Man,Agnostic,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,-1,Agnostic,Non-religious,-1.468041596,1.8,0.072525638,Never,1,All Participants
R_1d7fggb4n5xPjyY,0.045454545,Woman,Atheist,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,0,Atheist,Non-religious,-0.518668697,2.6,0.7767061893278371,Never,1,All Participants
R_1day6JcJx7YriOk,0.083333333,Man,Agnostic,none,Never,Not at all important,Never,NA,NA,NA,NA,never,0,Agnostic,Non-religious,-0.518668697,0,-1.511880603,Never,1,All Participants
R_1dB1koxaTzweGLg,0.5909090909090909,Woman,Catholic,NA,Never,Very important,A few times a week,Yes,No,Yes,Yes,NA,-1,Catholic,Christian,-1.468041596,1.8,0.072525638,A few times a week,5,All Christian
R_1DBdk0cKWj28Dai,0,Woman,Protestant,NA,Never,Not too important,Seldom,NA,NA,NA,NA,NA,2,Protestant,Christian,1.3800771015453797,2,0.24857077567475053,Seldom,2,All Christian
R_1DBhy3x8MI3aUOW,0,Woman,Agnostic,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,2,Agnostic,Non-religious,1.3800771015453797,3.8,1.8329770166340096,Never,1,All Participants
R_1dbMwaOmmyhi5PT,0.13636363636363638,Woman,Protestant,NA,Seldom,Somewhat important,A few times a month,No,No,Yes,No,NA,2,Protestant,Christian,1.3800771015453797,1,-0.631654914,A few times a month,3,All Christian
R_1dc19ZJuWXqJwTK,0.4285714285714286,Man,Catholic,NA,Once a week,Very important,A few times a month,Yes,No,Yes,Yes,NA,2,Catholic,Christian,1.3800771015453797,0.2,-1.335835465,A few times a month,3,All Christian
R_1DCKchXUD8qKPJW,0,Man,Atheist,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,0,Atheist,Non-religious,-0.518668697,1.8,0.072525638,Never,1,All Participants
R_1DD8qPIYbgG7inN,0,Woman,Nothing in particular,"My family background is generally Christian, maternal grandparents were Lutheran. I was raised without religion; have no interest or belief in any faith or religion.",Never,Not at all important,Never,NA,NA,NA,NA,"I have impulses and wishes that might translate to prayers for people of faith, but I have no feeling that they are heard by or communicated to any entity in any way.",2,Nothing in particular,Non-religious,1.3800771015453797,2.2,0.4246159135591128,Never,1,All Participants
R_1diOoVhPwZcYCyY,0,Man,Catholic,"If I had to pick, I guess I would say that I'm Catholic, but religion doesn't play a part in my life or affect any decisions that I make.",Never,Not at all important,Never,NA,NA,NA,NA,NA,1,Catholic,Christian,0.43070420230895456,3,1.1287964650965612,Never,1,All Christian
R_1DLP1AtYRRDB6CJ,0.1818181818181818,Woman,"Agnostic,Atheist",NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,2,More than one non-religious identity,Non-religious,1.3800771015453797,1.4,-0.279564638,Never,1,All Participants
R_1dM2qVjNB136g0O,0,Man,Atheist,NA,Seldom,Not at all important,Never,NA,NA,NA,NA,NA,1,Atheist,Non-religious,0.43070420230895456,0,-1.511880603,Never,1,All Participants
R_1DM6Gpz7SX4AXYs,0.9090909090909091,Man,Catholic,NA,A few times a year,Very important,Once a day,No,No,No,No,NA,0,Catholic,Christian,-0.518668697,3,1.1287964650965612,Once a day,6,All Christian
R_1DMiiLGRuxfPWA0,1.6818181818181819,Something else (Please feel free to say more below.),"Spiritual but not religious,Agnostic",NA,Seldom,Not at all important,A few times a week,NA,NA,NA,NA,NA,0,"Evangelical or ""born again""",Christian,-0.518668697,3,1.1287964650965612,A few times a week,5,Evangelical Christian
R_1dn9zmaEjsqZiIC,0.090909091,Man,Catholic,NA,Once a week,Very important,Once a day,No,No,Yes,Yes,NA,0,Catholic,Christian,-0.518668697,0,-1.511880603,Once a day,6,All Christian
R_1dNzTyxv3pZjtG1,1.1363636363636362,Woman,Spiritual but not religious,NA,Never,Not at all important,A few times a week,NA,NA,NA,NA,i've suffered from meth induced psychosis for the past 2.5 years.  i hear voices on a daily basis.,2,Spiritual but not religious,New Age / Spiritual,1.3800771015453797,0.8,-0.807700052,A few times a week,5,All Participants
R_1DOaNOLo2CUjJOP,0.47619047619047616,Man,Agnostic,NA,A few times a year,Not at all important,Never,NA,NA,NA,NA,NA,0,Agnostic,Non-religious,-0.518668697,2,0.24857077567475053,Never,1,All Participants
R_1DOb77218FZvN9X,0,Man,Nothing in particular,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,2,Nothing in particular,Non-religious,1.3800771015453797,0,-1.511880603,Never,1,All Participants
R_1DokBSNyMnUDLr9,1.210526315789474,Woman,Spiritual but not religious,NA,Never,Not too important,Seldom,NA,NA,NA,NA,NA,2,Spiritual but not religious,New Age / Spiritual,1.3800771015453797,4,2.009022154518372,Seldom,2,All Participants
R_1Dpv2weGDKGisOA,0.090909091,Woman,Atheist,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,0,Atheist,Non-religious,-0.518668697,1.4,-0.279564638,Never,1,All Participants
R_1Dqa421LIw02UkI,2.238095238095238,Man,Catholic,NA,Seldom,Somewhat important,Several times a day,Yes,NA,Yes,Yes,NA,2,Catholic,Christian,1.3800771015453797,0.4,-1.159790327,Several times a day,7,All Christian
R_1dsIlRxYiiUUydX,1.5,Woman,"Some other kind of Christianity (Please describe below.),Some other world religion (Please describe below.)",NA,Never,Not at all important,Seldom,Yes,NA,NA,NA,NA,2,More than one religion/spirituality,More than one religion/spirituality,1.3800771015453797,4,2.009022154518372,Seldom,2,All Participants
R_1DUy9t4m4z2Q4j2,0,Man,"Christian, no specific denomination",NA,Never,Not too important,Seldom,NA,NA,NA,NA,NA,1,"Christian, no specific denomination",Christian,0.43070420230895456,0.2,-1.335835465,Seldom,2,All Christian
R_1DvcgEWf6LyZY5g,0,Woman,"Agnostic,Atheist","I bounce between agnostic and atheist. Generally tend to believe that there are no higher beings, but also that we lack the scientific ability to say one was or another definitively.",Never,Not at all important,Never,NA,NA,NA,NA,NA,1,More than one non-religious identity,Non-religious,0.43070420230895456,2.4,0.6006610514434747,Never,1,All Participants
R_1DVmqyJtgMk5mLQ,0.5,Woman,"Catholic,Spiritual but not religious",NA,Seldom,Not too important,A few times a month,NA,NA,NA,NA,NA,2,More than one religion/spirituality,More than one religion/spirituality,1.3800771015453797,3.6,1.656931878749648,A few times a month,3,All Participants
R_1dzdUAG0Mb9qW1W,0.7647058823529411,Man,Agnostic,"I grew up in an Irish Catholic family, but religion was never force on me and we weren't very strict about it.  I don't believe in demonic forces or ""evil"" existing as a force in the universe.  I am not sure about God, but I have felt a benevolent and loving presence in my life.  I don't know if this was something inside or outside of me, but it felt outside of me.  But maybe it was an illusion.  I really have no idea.",Never,Not at all important,Once a day,NA,NA,NA,NA,"I think that knowing someone wishes us harm, or bears ill will toward us, can cause negative effects to us, simply because of the psychological stress this places upon us.  I don't think there is anything ""woo"" or supernatural about this.  I hope this explains some of the answers I gave in this study.  For example, I don't believe that spirits have actually harmed or cursed people I know, but I have heard about this happening to people I know, because they have reported such things.  I was giving my answer based on the fact that I had heard of it happening, not that I actually believed that it happened.",1,Agnostic,Non-religious,0.43070420230895456,0.4,-1.159790327,Once a day,6,All Participants
R_1DZl90NHHDlKzDD,0.1428571428571429,Man,"Spiritual but not religious,Atheist",NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,-1,"Evangelical or ""born again""",Christian,-1.468041596,2.6,0.7767061893278371,Never,1,Evangelical Christian
R_1E3SRwy50cMHvhD,1.3529411764705879,Woman,"Buddhist,Pagan, Wiccan, or other New Age faiths",NA,Seldom,Not too important,Seldom,NA,NA,NA,NA,NA,2,More than one religion/spirituality,More than one religion/spirituality,1.3800771015453797,2.6,0.7767061893278371,Seldom,2,All Participants
R_1E4Xmcy5n7LT9rL,0.8181818181818181,Woman,Catholic,none,Once a week,Very important,Several times a day,No,No,Yes,Yes,NA,1,Catholic,Christian,0.43070420230895456,1.6,-0.1035195,Several times a day,7,All Christian
R_1E68xHyYpszRdQv,0,Woman,Catholic,NA,Never,Not at all important,Seldom,NA,NA,NA,NA,NA,0,Catholic,Christian,-0.518668697,0,-1.511880603,Seldom,2,All Christian
R_1E72InpggtG39jy,0.090909091,Man,Protestant,NA,Never,Not too important,Seldom,NA,NA,NA,NA,NA,2,Protestant,Christian,1.3800771015453797,2,0.24857077567475053,Seldom,2,All Christian
R_1Eahkuni50lfG9R,0.095238095,Man,"Catholic,Spiritual but not religious",I live next to and work at a church. It's like a revolving door sometime . Thank you have a great day.,A few times a year,Not too important,A few times a week,Yes,No,Yes,Yes,NA,0,More than one religion/spirituality,More than one religion/spirituality,-0.518668697,3.2,1.3048416029809236,A few times a week,5,All Participants
R_1EbAOTt8hM6nveB,1.0454545454545454,Woman,Agnostic,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,2,Agnostic,Non-religious,1.3800771015453797,1.6,-0.1035195,Never,1,All Participants
R_1EdgEtCvXgewyiL,0,Man,"Catholic,Nothing in particular",NA,Never,Not too important,Never,NA,NA,NA,NA,NA,1,More than one religion/spirituality,More than one religion/spirituality,0.43070420230895456,1,-0.631654914,Never,1,All Participants
R_1eE0LccSF6lAZyG,1,Woman,Spiritual but not religious,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,1,Spiritual but not religious,New Age / Spiritual,0.43070420230895456,2.2,0.4246159135591128,Never,1,All Participants
R_1eEuu9nPCEYokEq,0,Woman,"Christian, no specific denomination",NA,Seldom,Somewhat important,A few times a month,NA,NA,NA,NA,NA,0,"Christian, no specific denomination",Christian,-0.518668697,2.4,0.6006610514434747,A few times a month,3,All Christian
R_1eFwTHpeiqpPqIB,0.5,Man,Atheist,NA,Never,Not too important,Seldom,NA,NA,NA,NA,NA,1,Atheist,Non-religious,0.43070420230895456,1.4,-0.279564638,Seldom,2,All Participants
